@relation CharacterTrajectories_channel_1

@attribute channel_1_0 numeric
@attribute channel_1_1 numeric
@attribute channel_1_2 numeric
@attribute channel_1_3 numeric
@attribute channel_1_4 numeric
@attribute channel_1_5 numeric
@attribute channel_1_6 numeric
@attribute channel_1_7 numeric
@attribute channel_1_8 numeric
@attribute channel_1_9 numeric
@attribute channel_1_10 numeric
@attribute channel_1_11 numeric
@attribute channel_1_12 numeric
@attribute channel_1_13 numeric
@attribute channel_1_14 numeric
@attribute channel_1_15 numeric
@attribute channel_1_16 numeric
@attribute channel_1_17 numeric
@attribute channel_1_18 numeric
@attribute channel_1_19 numeric
@attribute channel_1_20 numeric
@attribute channel_1_21 numeric
@attribute channel_1_22 numeric
@attribute channel_1_23 numeric
@attribute channel_1_24 numeric
@attribute channel_1_25 numeric
@attribute channel_1_26 numeric
@attribute channel_1_27 numeric
@attribute channel_1_28 numeric
@attribute channel_1_29 numeric
@attribute channel_1_30 numeric
@attribute channel_1_31 numeric
@attribute channel_1_32 numeric
@attribute channel_1_33 numeric
@attribute channel_1_34 numeric
@attribute channel_1_35 numeric
@attribute channel_1_36 numeric
@attribute channel_1_37 numeric
@attribute channel_1_38 numeric
@attribute channel_1_39 numeric
@attribute channel_1_40 numeric
@attribute channel_1_41 numeric
@attribute channel_1_42 numeric
@attribute channel_1_43 numeric
@attribute channel_1_44 numeric
@attribute channel_1_45 numeric
@attribute channel_1_46 numeric
@attribute channel_1_47 numeric
@attribute channel_1_48 numeric
@attribute channel_1_49 numeric
@attribute channel_1_50 numeric
@attribute channel_1_51 numeric
@attribute channel_1_52 numeric
@attribute channel_1_53 numeric
@attribute channel_1_54 numeric
@attribute channel_1_55 numeric
@attribute channel_1_56 numeric
@attribute channel_1_57 numeric
@attribute channel_1_58 numeric
@attribute channel_1_59 numeric
@attribute channel_1_60 numeric
@attribute channel_1_61 numeric
@attribute channel_1_62 numeric
@attribute channel_1_63 numeric
@attribute channel_1_64 numeric
@attribute channel_1_65 numeric
@attribute channel_1_66 numeric
@attribute channel_1_67 numeric
@attribute channel_1_68 numeric
@attribute channel_1_69 numeric
@attribute channel_1_70 numeric
@attribute channel_1_71 numeric
@attribute channel_1_72 numeric
@attribute channel_1_73 numeric
@attribute channel_1_74 numeric
@attribute channel_1_75 numeric
@attribute channel_1_76 numeric
@attribute channel_1_77 numeric
@attribute channel_1_78 numeric
@attribute channel_1_79 numeric
@attribute channel_1_80 numeric
@attribute channel_1_81 numeric
@attribute channel_1_82 numeric
@attribute channel_1_83 numeric
@attribute channel_1_84 numeric
@attribute channel_1_85 numeric
@attribute channel_1_86 numeric
@attribute channel_1_87 numeric
@attribute channel_1_88 numeric
@attribute channel_1_89 numeric
@attribute channel_1_90 numeric
@attribute channel_1_91 numeric
@attribute channel_1_92 numeric
@attribute channel_1_93 numeric
@attribute channel_1_94 numeric
@attribute channel_1_95 numeric
@attribute channel_1_96 numeric
@attribute channel_1_97 numeric
@attribute channel_1_98 numeric
@attribute channel_1_99 numeric
@attribute channel_1_100 numeric
@attribute channel_1_101 numeric
@attribute channel_1_102 numeric
@attribute channel_1_103 numeric
@attribute channel_1_104 numeric
@attribute channel_1_105 numeric
@attribute channel_1_106 numeric
@attribute channel_1_107 numeric
@attribute channel_1_108 numeric
@attribute channel_1_109 numeric
@attribute channel_1_110 numeric
@attribute channel_1_111 numeric
@attribute channel_1_112 numeric
@attribute channel_1_113 numeric
@attribute channel_1_114 numeric
@attribute channel_1_115 numeric
@attribute channel_1_116 numeric
@attribute channel_1_117 numeric
@attribute channel_1_118 numeric
@attribute channel_1_119 numeric
@attribute channel_1_120 numeric
@attribute channel_1_121 numeric
@attribute channel_1_122 numeric
@attribute channel_1_123 numeric
@attribute channel_1_124 numeric
@attribute channel_1_125 numeric
@attribute channel_1_126 numeric
@attribute channel_1_127 numeric
@attribute channel_1_128 numeric
@attribute channel_1_129 numeric
@attribute channel_1_130 numeric
@attribute channel_1_131 numeric
@attribute channel_1_132 numeric
@attribute channel_1_133 numeric
@attribute channel_1_134 numeric
@attribute channel_1_135 numeric
@attribute channel_1_136 numeric
@attribute channel_1_137 numeric
@attribute channel_1_138 numeric
@attribute channel_1_139 numeric
@attribute channel_1_140 numeric
@attribute channel_1_141 numeric
@attribute channel_1_142 numeric
@attribute channel_1_143 numeric
@attribute channel_1_144 numeric
@attribute channel_1_145 numeric
@attribute channel_1_146 numeric
@attribute channel_1_147 numeric
@attribute channel_1_148 numeric
@attribute channel_1_149 numeric
@attribute channel_1_150 numeric
@attribute channel_1_151 numeric
@attribute channel_1_152 numeric
@attribute channel_1_153 numeric
@attribute channel_1_154 numeric
@attribute channel_1_155 numeric
@attribute channel_1_156 numeric
@attribute channel_1_157 numeric
@attribute channel_1_158 numeric
@attribute channel_1_159 numeric
@attribute channel_1_160 numeric
@attribute channel_1_161 numeric
@attribute channel_1_162 numeric
@attribute channel_1_163 numeric
@attribute channel_1_164 numeric
@attribute channel_1_165 numeric
@attribute channel_1_166 numeric
@attribute channel_1_167 numeric
@attribute channel_1_168 numeric
@attribute channel_1_169 numeric
@attribute channel_1_170 numeric
@attribute channel_1_171 numeric
@attribute channel_1_172 numeric
@attribute channel_1_173 numeric
@attribute channel_1_174 numeric
@attribute channel_1_175 numeric
@attribute channel_1_176 numeric
@attribute channel_1_177 numeric
@attribute channel_1_178 numeric
@attribute channel_1_179 numeric
@attribute channel_1_180 numeric
@attribute channel_1_181 numeric
@attribute target {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
0.071323,0.083973,0.085534,0.078218,0.067093,0.05552,0.043275,0.027787,0.005932,-0.025043,-0.066984,-0.120483,-0.185363,-0.261646,-0.349528,-0.448135,-0.554524,-0.663956,-0.770916,-0.870061,-0.95681,-1.027564,-1.079644,-1.111149,-1.121016,-1.109332,-1.077545,-1.028084,-0.963634,-0.886796,-0.800359,-0.707551,-0.611728,-0.515526,-0.420019,-0.324393,-0.226183,-0.121687,-0.006563,0.122791,0.267273,0.424113,0.587763,0.751332,0.907227,1.047542,1.165035,1.254235,1.31195,1.337243,1.33119,1.296259,1.235296,1.150822,1.045354,0.922427,0.787098,0.645131,0.501353,0.35853,0.217461,0.077811,-0.061271,-0.201091,-0.343313,-0.489118,-0.637844,-0.786177,-0.92854,-1.058438,-1.169921,-1.258418,-1.320743,-1.354655,-1.358592,-1.331774,-1.274499,-1.188409,-1.076564,-0.943216,-0.793123,-0.63058,-0.45867,-0.27926,-0.093793,0.095611,0.285256,0.469446,0.640665,0.790455,0.910914,0.996456,1.045153,1.059351,1.045773,1.015013,0.979411,0.949175,0.929101,0.918521,0.914082,0.912602,0.91221,0.912128,0.912115,0.912113,0.912112,0.912099,0.912008,0.911465,0.908929,0.899618,0.872707,0.811384,0.701067,0.544228,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.135489,0.181716,0.219917,0.247798,0.266823,0.278887,0.284405,0.282681,0.273129,0.256052,0.232628,0.204415,0.1729,0.139475,0.105473,0.071472,0.035997,-0.004657,-0.054332,-0.114588,-0.184964,-0.265301,-0.356525,-0.458605,-0.568193,-0.678701,-0.782651,-0.874058,-0.949145,-1.005633,-1.041996,-1.057624,-1.053478,-1.031998,-0.995859,-0.946676,-0.884763,-0.809821,-0.721769,-0.621297,-0.510081,-0.390665,-0.266105,-0.139446,-0.013219,0.110742,0.230964,0.345796,0.453231,0.551195,0.638024,0.712888,0.775985,0.828443,0.872044,0.908953,0.941283,0.970224,0.994897,1.011777,1.015467,1.000581,0.963515,0.903107,0.820385,0.718281,0.601653,0.476927,0.350526,0.226703,0.106672,-0.010206,-0.124753,-0.237498,-0.348985,-0.459425,-0.567557,-0.66995,-0.761846,-0.839252,-0.900749,-0.94745,-0.981224,-1.002878,-1.011795,-1.006875,-0.987401,-0.952886,-0.902544,-0.835431,-0.751089,-0.649941,-0.533386,-0.40398,-0.265468,-0.122373,0.020569,0.158739,0.287966,0.40498,0.507627,0.594813,0.666541,0.723813,0.768073,0.8005,0.821651,0.83141,0.829185,0.814988,0.791327,0.763952,0.739675,0.722792,0.713528,0.709512,0.708138,0.707768,0.707689,0.707676,0.707674,0.707673,0.707663,0.707593,0.707171,0.705203,0.697979,0.6771,0.629522,0.543931,0.422246,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.053789,0.074516,0.094246,0.111463,0.125568,0.136576,0.144678,0.149621,0.150365,0.145481,0.133934,0.115594,0.091525,0.064111,0.036269,0.009617,-0.016571,-0.043978,-0.072915,-0.101942,-0.129655,-0.15619,-0.183012,-0.211741,-0.243228,-0.277403,-0.313815,-0.352315,-0.393147,-0.436398,-0.481551,-0.527744,-0.574428,-0.621621,-0.66936,-0.716836,-0.762036,-0.802198,-0.83452,-0.856391,-0.865085,-0.857673,-0.831864,-0.787359,-0.726342,-0.652525,-0.569541,-0.479969,-0.38524,-0.28562,-0.179846,-0.065238,0.060806,0.198589,0.344932,0.493821,0.637966,0.770042,0.883364,0.972531,1.034469,1.069386,1.08081,1.074543,1.057136,1.034381,1.010024,0.985025,0.957766,0.925256,0.884553,0.833421,0.770188,0.693722,0.604027,0.502737,0.392678,0.276552,0.15576,0.030436,-0.098966,-0.229724,-0.356632,-0.473773,-0.576275,-0.660603,-0.724336,-0.766685,-0.789426,-0.797045,-0.795627,-0.791184,-0.788483,-0.790747,-0.799658,-0.815211,-0.835538,-0.857078,-0.875021,-0.883863,-0.878201,-0.853819,-0.808628,-0.742891,-0.658824,-0.560046,-0.450957,-0.335843,-0.217969,-0.099299,0.018866,0.134977,0.246969,0.352636,0.449656,0.534722,0.602697,0.647497,0.665345,0.658616,0.636616,0.611435,0.591854,0.58044,0.575304,0.573502,0.573006,0.572899,0.572881,0.572879,0.572878,0.57287,0.572813,0.572472,0.570879,0.565031,0.548128,0.509613,0.440325,0.341818,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.151691,0.203098,0.244962,0.273766,0.290081,0.295753,0.292319,0.281042,0.263081,0.239031,0.208392,0.169825,0.121981,0.064006,-0.004474,-0.083151,-0.170624,-0.264799,-0.363988,-0.467303,-0.573926,-0.682335,-0.79009,-0.893682,-0.98813,-1.067037,-1.123715,-1.152793,-1.151207,-1.118375,-1.056125,-0.968702,-0.862506,-0.745199,-0.624293,-0.505759,-0.393243,-0.288132,-0.190233,-0.098623,-0.012319,0.069336,0.146427,0.218294,0.28372,0.34174,0.392622,0.438147,0.480926,0.523374,0.567121,0.613043,0.661428,0.711732,0.762095,0.80933,0.849664,0.879675,0.896777,0.899123,0.885114,0.853072,0.801673,0.73101,0.643346,0.54271,0.433493,0.318832,0.19976,0.075943,-0.05209,-0.181083,-0.305633,-0.420728,-0.523484,-0.612645,-0.687192,-0.746017,-0.78908,-0.818856,-0.840467,-0.859913,-0.881494,-0.906127,-0.931223,-0.951715,-0.961661,-0.955916,-0.931244,-0.886472,-0.822003,-0.739378,-0.641121,-0.530626,-0.411923,-0.289311,-0.166649,-0.046504,0.069808,0.180983,0.284812,0.378738,0.46081,0.529768,0.584589,0.624411,0.648834,0.658222,0.653955,0.638897,0.61768,0.595923,0.578297,0.566821,0.560808,0.558281,0.557435,0.557209,0.557162,0.557154,0.557153,0.557152,0.557144,0.557089,0.556757,0.555208,0.54952,0.533082,0.495624,0.428238,0.332435,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.025898,0.035269,0.041937,0.045083,0.045136,0.042611,0.037535,0.029935,0.020533,0.010581,0.000924,-0.008466,-0.017749,-0.026263,-0.032611,-0.035733,-0.035994,-0.035527,-0.037546,-0.044993,-0.059602,-0.082052,-0.112679,-0.151889,-0.200169,-0.257839,-0.32463,-0.399366,-0.480118,-0.564836,-0.652019,-0.74096,-0.831289,-0.922023,-1.010784,-1.093811,-1.166734,-1.225228,-1.26492,-1.281027,-1.268833,-1.225261,-1.150416,-1.047837,-0.923381,-0.783725,-0.635422,-0.484618,-0.336813,-0.195976,-0.063342,0.062657,0.184605,0.303888,0.419926,0.530858,0.6346,0.729663,0.815438,0.891987,0.959926,1.020756,1.076914,1.130656,1.18217,1.228318,1.263016,1.278966,1.269539,1.229981,1.158119,1.055023,0.925368,0.776945,0.619168,0.460967,0.30881,0.165681,0.031439,-0.095773,-0.217833,-0.335523,-0.448359,-0.554841,-0.652575,-0.738567,-0.810181,-0.866315,-0.907826,-0.936991,-0.956662,-0.969717,-0.978606,-0.984573,-0.986838,-0.982535,-0.967646,-0.938328,-0.891923,-0.827401,-0.745282,-0.647235,-0.53564,-0.413345,-0.283645,-0.150251,-0.01709,0.111988,0.233256,0.342972,0.437468,0.513621,0.569455,0.604637,0.620705,0.620805,0.609148,0.590687,0.570742,0.553887,0.542489,0.536321,0.53366,0.532749,0.532503,0.53245,0.532442,0.53244,0.532439,0.532432,0.532379,0.532062,0.530582,0.525146,0.509437,0.47364,0.409243,0.31769,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.25203,0.329112,0.384808,0.414324,0.420654,0.409256,0.384696,0.349952,0.306709,0.255725,0.197186,0.130957,0.056648,-0.026395,-0.118851,-0.22089,-0.331681,-0.449288,-0.570889,-0.693101,-0.812297,-0.925056,-1.028798,-1.122269,-1.205521,-1.279423,-1.345021,-1.402937,-1.452702,-1.492114,-1.517216,-1.523598,-1.508535,-1.472247,-1.417115,-1.345957,-1.261485,-1.16724,-1.067986,-0.967989,-0.868312,-0.765817,-0.654891,-0.530193,-0.388035,-0.22619,-0.043777,0.157826,0.374014,0.597161,0.817813,1.025881,1.21165,1.367083,1.487256,1.57108,1.621,1.642176,1.641312,1.624824,1.596562,1.556291,1.500023,1.422142,1.318241,1.187356,1.032614,0.860175,0.677358,0.491038,0.306744,0.128329,-0.041889,-0.202814,-0.35437,-0.497214,-0.631902,-0.757775,-0.872478,-0.972823,-1.056541,-1.123557,-1.17583,-1.216086,-1.246376,-1.267114,-1.276784,-1.27231,-1.249997,-1.206771,-1.141244,-1.054203,-0.948485,-0.828402,-0.698892,-0.564517,-0.428621,-0.29301,-0.158147,-0.023479,0.112091,0.249211,0.386777,0.521252,0.647087,0.757855,0.847633,0.912317,0.950381,0.962917,0.953473,0.928121,0.895125,0.86318,0.838548,0.823207,0.815487,0.812359,0.811344,0.811081,0.811027,0.811018,0.811017,0.811015,0.811005,0.810924,0.810441,0.808185,0.799906,0.775978,0.721452,0.623362,0.483907,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.040877,0.060811,0.080863,0.099596,0.116673,0.131438,0.14206,0.145866,0.140238,0.123415,0.094863,0.055076,0.004999,-0.054219,-0.120857,-0.192343,-0.265752,-0.338677,-0.409724,-0.47854,-0.545642,-0.612173,-0.679608,-0.749304,-0.821904,-0.896964,-0.973032,-1.047794,-1.117892,-1.178723,-1.224891,-1.251381,-1.254791,-1.233916,-1.189524,-1.12372,-1.039413,-0.940154,-0.830133,-0.713795,-0.594809,-0.475024,-0.354329,-0.231548,-0.105594,0.023894,0.15659,0.291781,0.428426,0.564941,0.699221,0.829098,0.952682,1.068077,1.172869,1.264077,1.338613,1.393752,1.427344,1.437911,1.424829,1.38857,1.330779,1.253991,1.161183,1.055532,0.940393,0.819273,0.695712,0.573031,0.453627,0.337891,0.22367,0.107049,-0.016119,-0.148959,-0.292959,-0.447801,-0.611396,-0.77988,-0.947676,-1.108095,-1.254546,-1.381591,-1.485073,-1.561315,-1.606294,-1.61586,-1.587147,-1.519949,-1.416916,-1.282852,-1.124163,-0.948545,-0.764112,-0.577676,-0.393012,-0.210184,-0.026275,0.162461,0.357493,0.555596,0.748838,0.926609,1.077873,1.192793,1.264122,1.288504,1.267221,1.206451,1.117742,1.018227,0.927997,0.863207,0.828861,0.818112,0.819105,0.82273,0.825228,0.826311,0.826648,0.826726,0.826741,0.826742,0.826741,0.826731,0.826648,0.826156,0.823857,0.815417,0.791025,0.735441,0.63545,0.49329,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.085883,0.108594,0.122497,0.12759,0.126748,0.122831,0.117017,0.108723,0.096409,0.078844,0.056055,0.028721,-0.003781,-0.044076,-0.094352,-0.153202,-0.21574,-0.276844,-0.333701,-0.385789,-0.433777,-0.478907,-0.522697,-0.566475,-0.610923,-0.656066,-0.701574,-0.746821,-0.790551,-0.830759,-0.865183,-0.891978,-0.909783,-0.917318,-0.913227,-0.896448,-0.866619,-0.824027,-0.769315,-0.703416,-0.627801,-0.544558,-0.455896,-0.363303,-0.266974,-0.165933,-0.058912,0.054357,0.172259,0.291772,0.40993,0.52463,0.63415,0.736533,0.829902,0.913263,0.986646,1.050343,1.103999,1.146362,1.175686,1.19011,1.18767,1.166215,1.123677,1.058787,0.971959,0.86584,0.745086,0.615344,0.48193,0.348686,0.217332,0.087804,-0.040292,-0.166281,-0.288584,-0.405957,-0.517822,-0.623123,-0.719328,-0.80303,-0.871801,-0.925725,-0.9673,-0.999751,-1.025028,-1.042828,-1.050953,-1.046437,-1.026591,-0.989468,-0.933978,-0.860147,-0.769424,-0.664521,-0.548734,-0.425219,-0.29662,-0.165086,-0.032453,0.099477,0.22834,0.350359,0.460028,0.551026,0.61787,0.657337,0.669348,0.657607,0.629747,0.595978,0.565903,0.545083,0.533889,0.529353,0.528071,0.527884,0.527911,0.527937,0.527945,0.527947,0.527947,0.527946,0.527939,0.527887,0.527572,0.526104,0.520715,0.505138,0.469643,0.40579,0.315009,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.231011,0.30342,0.356691,0.385393,0.391185,0.378404,0.351111,0.312306,0.263993,0.207497,0.143992,0.075055,0.00291,-0.069819,-0.140603,-0.20727,-0.267879,-0.320778,-0.365186,-0.401799,-0.432759,-0.46115,-0.490602,-0.524929,-0.567435,-0.619953,-0.682344,-0.752854,-0.828913,-0.907478,-0.98455,-1.054534,-1.110594,-1.146329,-1.157684,-1.143611,-1.105372,-1.045563,-0.967703,-0.876288,-0.776551,-0.673297,-0.569238,-0.464169,-0.355726,-0.241038,-0.118162,0.013183,0.151362,0.292921,0.433132,0.56713,0.691232,0.803494,0.902932,0.988203,1.057465,1.109852,1.14678,1.171248,1.185762,1.191033,1.186472,1.171462,1.145743,1.108449,1.057156,0.988562,0.900601,0.794211,0.67338,0.543498,0.409232,0.273315,0.136786,-0.000047,-0.136981,-0.273907,-0.41076,-0.546766,-0.67926,-0.803294,-0.912829,-1.00291,-1.071317,-1.118754,-1.147646,-1.160347,-1.157863,-1.139878,-1.10583,-1.055931,-0.991249,-0.913182,-0.823211,-0.723144,-0.615259,-0.50187,-0.384611,-0.264094,-0.140212,-0.012733,0.118138,0.251262,0.384199,0.513263,0.633746,0.739964,0.825723,0.885974,0.91884,0.926284,0.913374,0.887499,0.857473,0.831303,0.813377,0.803641,0.799448,0.798019,0.797634,0.797553,0.797539,0.797537,0.797536,0.797525,0.797446,0.796971,0.794753,0.786612,0.763081,0.709461,0.613002,0.475864,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.04185,0.051499,0.057889,0.062842,0.068436,0.075347,0.083197,0.091368,0.098962,0.104615,0.106877,0.104674,0.097275,0.083903,0.063467,0.034679,-0.003433,-0.050971,-0.106971,-0.169768,-0.237612,-0.309085,-0.383214,-0.459387,-0.537033,-0.615202,-0.692512,-0.767522,-0.838912,-0.905091,-0.963806,-1.012501,-1.049151,-1.072723,-1.082887,-1.079413,-1.06185,-1.029729,-0.982985,-0.922206,-0.84851,-0.763182,-0.667189,-0.560755,-0.443202,-0.313267,-0.169777,-0.012302,0.158324,0.339355,0.525526,0.709311,0.882191,1.036127,1.164632,1.263493,1.331158,1.368651,1.378915,1.365654,1.33202,1.279775,1.209511,1.121828,1.018574,0.903299,0.780728,0.655736,0.53247,0.413839,0.301152,0.1937,0.088496,-0.019331,-0.135102,-0.262488,-0.401941,-0.550565,-0.703092,-0.852918,-0.992615,-1.11422,-1.209927,-1.273338,-1.300793,-1.292019,-1.249668,-1.178002,-1.081703,-0.965531,-0.834559,-0.694184,-0.549526,-0.40451,-0.261374,-0.121198,0.014787,0.144032,0.262522,0.365594,0.449055,0.51008,0.547787,0.563561,0.561229,0.546949,0.52815,0.511297,0.499762,0.493566,0.490934,0.490049,0.489814,0.489765,0.489756,0.489755,0.489754,0.489748,0.489699,0.489407,0.488046,0.483046,0.468596,0.435669,0.376435,0.292221,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
