att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,target
0.48105169,0.61451433,0.61837825,0.49711009,0.65952413,0.8790139,0.66280806,0.32881421,0.40238833,0.38724543,0.042659856,0.042297798,0.41704745,0.42791092,0.42485841,1
0.51757922,0.64775148,0.75772918,0.55097003,0.59862483,0.31852425,0.3985895,0.12788838,0.70322322,0.8161401,0.99615611,0.240905,0.93713467,0.43618496,0.57892349,1
0.41742418,0.6100467,0.79012242,0.52506635,0.59765929,0.44240231,0.1925104,0.19665819,0.75809928,0.098518738,0.53566419,0.39000491,0.070684335,0.67477647,0.055976157,1
0.63227456,0.62615228,0.77108582,0.45171332,0.6186154,0.56055953,0.85409995,0.13208296,0.17043202,0.35507365,0.69378761,0.48959434,0.66693153,0.61280959,0.26013019,1
0.49413124,0.60119235,0.72800249,0.41120704,0.58113994,0.74870572,0.78555899,0.60786591,0.21756331,0.64206083,0.51181992,0.047554673,0.64630196,0.071037084,0.68006553,1
0.51289055,0.58256453,0.74551006,0.4872114,0.60740898,0.53406413,0.13393125,0.54954011,0.55573794,0.31742786,0.3545343,0.71504501,0.82953282,0.82662951,0.86688705,1
0.46525358,0.68137461,0.57654113,0.55992327,0.63409222,0.75493327,0.049532579,0.0132832,0.43248499,0.46326058,0.98610424,0.89444776,0.87779907,0.72085567,0.67116623,1
0.46475754,0.64456768,0.74085281,0.51981067,0.64256238,0.58802606,0.86044056,0.39652079,0.1682513,0.064187087,0.75052006,0.71112855,0.72838682,0.51545845,0.45194571,1
0.53927021,0.69272972,0.68421353,0.49563993,0.5811592,0.40458,0.73864029,0.17811695,0.78936394,0.59749019,0.2237704,0.10788891,0.40349114,0.45039358,0.36003104,1
0.52156894,0.69256929,0.6150823,0.53115835,0.62647589,0.39679152,0.20846136,0.53377195,0.31581144,0.54644944,0.61644349,0.33042361,0.36245928,0.83187134,0.91682127,1
0.46588491,0.5817266,0.66735764,0.45015136,0.63406682,0.8335006,0.62095864,0.52610247,0.53120929,0.92109726,0.66238186,0.73907223,0.28662039,0.14651486,0.51697901,1
0.4645167,0.58927349,0.82918454,0.50816799,0.58268107,0.76911439,0.27029433,0.90513474,0.059403297,0.32583363,0.10694166,0.54930853,0.47557293,0.40007975,0.84870923,1
0.57345172,0.61511509,0.80450363,0.53543396,0.59856791,0.93285357,0.66094456,0.20894667,0.38827163,0.5583192,0.72317348,0.09908965,0.34800766,0.67322599,0.69375257,1
0.59469425,0.5805984,0.67651162,0.45557595,0.63871435,0.63931696,0.86543859,0.1181552,0.58318573,0.62067195,0.42111225,0.72951305,0.6671203,0.86414753,0.69538995,1
0.49679278,0.69683483,0.71838802,0.43947028,0.59937059,0.62789638,0.083482814,0.33584897,0.77193392,0.42264565,0.18061689,0.19324533,0.33166524,0.88248631,0.73427111,1
